(44.3360,-73.6211,744.4016)	(2.3361,-113.4863,759.4650)	(25.8798,-109.7455,752.3259)	(63.4485,-110.9298,751.1431)	(91.9390,-117.1750,758.9695)	(48.4762,-47.5753,761.4838)
(46.9175,-73.6211,744.3909)	(1.0229,-113.4902,759.4723)	(25.8798,-109.0210,752.3494)	(63.4485,-110.9298,751.1234)	(90.3188,-118.1786,756.9688)	(49.7964,-48.8928,761.4692)
(46.9175,-73.6211,744.3891)	(-0.0940,-112.1722,759.4774)	(25.8758,-107.7121,752.3547)	(62.6019,-109.6356,752.1274)	(90.3266,-117.1710,757.0049)	(48.4802,-50.2182,761.4692)
(47.1101,-73.8178,746.3749)	(-0.0940,-112.1722,759.4812)	(27.1874,-108.7263,752.3365)	(62.6019,-109.6395,752.1255)	(91.6477,-117.1750,758.9695)	(48.2956,-50.2142,761.4581)
(46.9175,-73.6211,744.3981)	(-0.0940,-112.4701,761.4758)	(27.1874,-107.7081,752.3475)	(62.6019,-109.6356,752.1237)	(91.6477,-117.1750,758.9641)	(49.6162,-51.3974,759.4838)
(46.9175,-73.6288,746.3589)	(-0.0940,-112.1722,759.4774)	(27.1874,-108.7263,752.3384)	(63.9134,-109.6278,752.1111)	(91.6477,-117.1710,758.9568)	(48.2956,-50.0873,759.4838)
(47.1101,-73.8178,746.3661)	(-0.0940,-112.1722,759.4793)	(27.1874,-108.4356,752.3365)	(62.6019,-109.6278,752.1004)	(90.3227,-116.8719,756.9887)	(49.7924,-50.2103,761.4527)
(46.9175,-73.6211,744.4016)	(-0.0940,-112.1722,759.4774)	(27.1874,-107.7081,754.3309)	(63.9134,-109.6356,752.1255)	(91.9390,-117.1750,758.9695)	(49.8043,-51.5357,761.4565)
(46.9213,-74.9131,744.3875)	(-0.0940,-112.1722,759.4812)	(27.1874,-108.7263,752.3384)	(63.9134,-109.6435,752.1255)	(91.9390,-117.1750,758.9695)	(49.8003,-50.2142,761.4638)
(47.1140,-75.1055,746.3517)	(-0.0940,-112.1722,759.4777)	(27.2523,-107.7081,752.3547)	(62.6019,-109.6435,752.1328)	(90.3305,-117.1710,756.9995)	(49.6083,-51.3974,759.4600)
(47.1140,-75.1055,744.4105)	(-0.0940,-112.1722,759.4777)	(27.2523,-107.7081,754.3256)	(62.3709,-109.6356,752.1255)	(91.9390,-117.1750,758.9695)	(48.4762,-51.4053,759.4802)
(46.9213,-74.9131,744.3944)	(-0.0940,-112.1722,759.4812)	(27.1874,-108.7263,752.3384)	(63.9134,-109.6435,752.1130)	(91.6437,-117.1710,758.9568)	(49.7964,-50.2142,761.4638)
(46.9213,-73.6211,744.4069)	(-0.0940,-112.1722,759.4793)	(27.1874,-108.4356,752.3365)	(62.3709,-109.6395,752.1255)	(91.9390,-117.1750,758.9695)	(49.7924,-50.2142,761.4565)
(46.9175,-73.6211,744.4087)	(-0.0940,-112.1722,759.4777)	(25.8758,-108.7303,752.3475)	(63.9134,-109.6356,752.1255)	(91.9390,-117.1710,758.9568)	(49.7924,-50.2103,761.4546)
(47.1140,-75.1133,746.3589)	(-0.0940,-112.4701,761.4758)	(27.1874,-108.4356,752.3384)	(63.9134,-109.6278,752.1237)	(90.3266,-116.8719,756.9887)	(48.2956,-50.2142,761.4619)
(47.1140,-75.1133,746.3643)	(-0.0940,-112.1722,759.4793)	(27.1874,-108.7263,752.3384)	(63.4524,-110.9298,751.1431)	(91.6477,-117.1710,758.9568)	(49.7924,-50.2142,761.4600)
(46.9175,-73.6211,744.3997)	(-1.3577,-112.4740,761.4813)	(25.9390,-107.7121,754.3491)	(62.6019,-109.6395,752.1274)	(91.6477,-117.1750,758.9695)	(48.4802,-50.2182,761.4692)
(46.9175,-73.6211,744.3873)	(-1.3577,-112.4740,761.4813)	(25.9429,-107.8557,754.3601)	(63.9134,-109.6435,752.1274)	(91.6477,-117.1750,758.9641)	(49.8043,-51.5357,761.4565)
(47.1101,-73.8100,744.4158)	(-0.0940,-112.1722,759.4774)	(25.9429,-107.8557,754.3529)	(63.9134,-109.6435,752.1255)	(91.6477,-117.1750,758.9695)	(49.7964,-50.0873,761.4400)
(46.9213,-74.9131,744.3909)	(-0.0940,-112.1722,761.4726)	(27.1874,-108.7263,752.3293)	(63.9134,-109.6356,752.1111)	(91.6477,-117.1750,758.9695)	(48.4802,-50.2182,761.4711)
(46.9175,-73.6211,744.3909)	(-0.0940,-112.1722,759.4777)	(25.9390,-107.7121,754.3381)	(62.6019,-109.6395,752.1255)	(90.3266,-117.1710,757.0049)	(49.7924,-50.2142,761.4600)
