(10.2744,-135.5047,757.3222)	(36.2959,-134.5222,752.1880)	(26.0378,-94.9629,759.4056)	(25.7701,-72.2660,756.5180)	(-15.8281,-122.6815,776.5281)	(10.5363,-116.8689,764.4097)	(47.5468,-116.6033,763.2127)	(72.8465,-121.7585,766.0203)	(4.3986,-58.4053,782.6784)	(26.7223,-57.6547,771.5488)	(56.8798,-56.7437,778.3927)	(27.0165,-43.3364,776.5857)
(8.9651,-135.5047,757.3295)	(37.4424,-134.5262,752.1862)	(25.9037,-94.7102,757.4362)	(27.1463,-72.3590,757.4989)	(-15.8047,-123.1595,778.5303)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(73.0938,-121.7585,766.0331)	(4.4696,-58.5578,784.6810)	(28.0597,-57.6547,771.5359)	(56.8798,-56.7559,778.4057)	(28.3706,-44.5533,776.6080)
(9.0388,-135.5047,757.3295)	(37.5923,-134.8742,754.1568)	(25.9037,-94.7102,759.3857)	(27.0816,-72.2620,756.5089)	(-15.8162,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2114)	(73.0938,-121.4445,766.0331)	(4.4696,-58.4053,782.6857)	(26.7223,-57.6547,771.5488)	(55.3240,-56.6112,776.4204)	(28.3666,-44.6873,776.5857)
(7.7300,-134.1901,759.3329)	(36.1339,-134.5183,752.1790)	(25.9037,-94.7142,757.4346)	(27.0777,-72.2620,756.5051)	(-15.8241,-122.8408,776.5317)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.1981)	(72.8465,-121.7585,766.0203)	(4.4027,-58.4053,782.6821)	(26.7223,-57.6547,771.5488)	(55.3320,-56.6112,776.4204)	(27.0165,-43.3161,776.5912)
(9.0506,-135.5047,759.3203)	(38.9121,-134.5183,752.1790)	(25.9037,-94.9550,759.3914)	(27.0816,-72.2620,756.5089)	(-15.8241,-124.0272,775.5269)	(10.5324,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(74.4226,-121.4445,766.0276)	(4.4067,-58.4053,782.6821)	(26.7223,-57.6547,771.5488)	(56.8758,-56.7396,778.3853)	(27.0205,-43.3364,776.6061)
(9.0467,-134.1901,757.3384)	(37.6040,-134.8820,754.1587)	(25.9037,-94.7102,757.4380)	(27.0855,-72.2660,757.4717)	(-15.8321,-124.0272,775.5269)	(10.5363,-116.8689,764.4078)	(47.3651,-116.6033,763.2054)	(74.4186,-121.4445,766.0203)	(4.3986,-58.4053,782.6821)	(26.7303,-57.6547,771.5488)	(55.5222,-56.7437,778.3703)	(27.1461,-43.3405,776.6304)
(8.9612,-134.1901,757.3311)	(36.1339,-134.5183,752.1774)	(26.0378,-94.9629,759.3967)	(27.0816,-72.2620,756.5107)	(-15.8281,-124.0272,775.5269)	(9.2110,-118.1995,764.4135)	(47.3612,-117.6170,761.2004)	(72.8465,-121.4405,764.0687)	(3.1097,-58.5619,784.6849)	(26.7223,-57.6547,771.5468)	(55.3280,-56.6112,776.4223)	(27.0245,-43.3364,776.6080)
(8.9651,-134.1901,757.3311)	(37.4385,-134.5222,752.1736)	(25.9037,-94.7102,759.3929)	(27.0894,-72.3550,757.4897)	(-15.8321,-124.0272,775.5269)	(10.5403,-116.8689,764.4208)	(47.5507,-117.9283,763.2000)	(73.0898,-121.4445,766.0276)	(4.4108,-58.4053,782.6821)	(26.6045,-57.6547,771.5320)	(56.8718,-56.7396,778.3723)	(28.3625,-43.3364,776.5986)
(9.0467,-135.5047,757.3311)	(37.4385,-134.5183,752.1720)	(25.9037,-94.9590,759.4003)	(27.0777,-72.2620,756.5089)	(-15.8203,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.2035)	(72.8425,-121.4405,764.0486)	(4.4108,-58.5578,782.6821)	(26.7223,-57.6547,771.5468)	(55.5222,-56.7437,778.3723)	(27.0165,-43.3364,775.6160)
(7.6479,-134.2099,757.3314)	(37.4385,-134.5183,752.1718)	(25.9037,-94.7142,759.3929)	(25.7701,-72.2660,756.5180)	(-17.1502,-123.1636,778.5378)	(10.5403,-116.8689,764.4170)	(47.3691,-117.6170,761.2095)	(72.8465,-121.4445,766.0075)	(4.4027,-58.4053,782.6821)	(26.7223,-57.6547,771.5488)	(56.8758,-56.7437,778.3907)	(27.0205,-44.5695,775.6105)
(8.9612,-135.5007,757.3257)	(37.4385,-134.5183,752.1736)	(26.0378,-94.9590,759.4056)	(27.0777,-72.2620,756.5070)	(-15.8241,-124.0272,775.5305)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(72.8465,-122.7758,764.0633)	(4.4696,-58.5578,782.6857)	(28.0597,-57.6547,771.5413)	(55.3280,-56.6112,776.4223)	(27.0205,-44.5695,775.6105)
(9.0428,-135.5047,757.3276)	(36.2959,-134.5301,752.1953)	(25.9037,-94.9590,759.4003)	(27.0816,-72.2620,756.5142)	(-15.8281,-122.6815,776.5281)	(10.5363,-116.8689,764.4135)	(47.5507,-116.7573,764.1912)	(72.8465,-121.7585,766.0276)	(4.4027,-58.4053,782.6821)	(28.0597,-57.6547,771.5413)	(55.3320,-56.6112,776.4297)	(28.3706,-43.3364,776.6135)
(9.0506,-135.5047,757.3311)	(37.6040,-134.5262,752.2025)	(26.0378,-94.9629,759.4130)	(27.0894,-72.3511,757.4844)	(-15.8361,-124.0272,775.5233)	(10.5324,-116.8689,764.4116)	(47.3651,-117.6170,761.2042)	(73.0859,-121.7585,766.0331)	(4.4027,-58.5578,782.6821)	(26.5965,-57.5024,769.5501)	(55.3240,-56.6112,776.4223)	(28.3666,-43.3364,776.6061)
(8.9612,-135.5047,757.3276)	(37.6040,-134.8781,754.1461)	(26.0378,-94.9629,759.3986)	(25.7779,-72.2660,756.5180)	(-15.8321,-124.0272,775.5269)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2023)	(73.0898,-121.4445,766.0276)	(4.3986,-58.4053,782.6821)	(26.5965,-57.5024,769.5501)	(55.3280,-56.6112,776.4279)	(26.9577,-44.5736,775.6011)
(8.9572,-134.1901,757.3311)	(37.4385,-134.5262,752.1862)	(26.0378,-94.9629,759.4037)	(25.7779,-72.2660,757.4952)	(-15.8243,-122.6815,776.5281)	(10.5363,-116.8689,764.4097)	(47.3651,-116.6033,763.1962)	(74.1718,-121.4405,764.0579)	(4.4696,-57.3532,784.6830)	(26.7343,-57.6547,771.5488)	(56.8718,-56.7396,778.3833)	(28.3706,-43.3364,776.6135)
(7.6479,-134.5665,757.3329)	(37.4385,-134.5183,752.1718)	(25.9037,-94.7142,757.4453)	(27.0777,-72.2620,756.5051)	(-15.8243,-124.0272,775.5269)	(9.2149,-116.8728,766.3968)	(47.3612,-117.6170,761.2095)	(72.8465,-121.4445,764.0706)	(4.4696,-58.5578,782.6893)	(26.7223,-57.6547,771.5488)	(55.3280,-56.6072,776.4279)	(27.0245,-43.3364,776.6080)
(7.7182,-134.2099,757.3314)	(37.4385,-134.5183,752.1718)	(25.9037,-94.9550,759.4003)	(27.0777,-72.2620,756.4997)	(-15.8241,-124.1882,775.5305)	(10.5403,-116.8689,764.4208)	(47.5547,-117.9283,763.2000)	(72.8465,-121.4405,765.9893)	(4.4108,-58.5578,782.6821)	(26.7223,-57.6547,771.5488)	(55.3320,-56.6072,778.3723)	(28.3666,-43.3364,776.6061)
(8.9612,-134.1901,757.3295)	(38.9121,-134.8742,752.1953)	(25.9037,-94.9550,759.3948)	(27.1463,-72.3590,757.4970)	(-15.8203,-124.1882,776.5226)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(73.0938,-121.4445,766.0405)	(4.4696,-58.5578,782.6857)	(26.7223,-57.6547,771.5488)	(55.3320,-56.6112,776.4223)	(27.0205,-44.6711,775.6254)
(9.0349,-135.5007,757.3257)	(38.9121,-134.8781,754.1641)	(25.9037,-94.7102,759.3838)	(27.0816,-72.2620,756.4997)	(-15.8162,-122.8408,776.5317)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.2054)	(73.0898,-121.4445,766.0276)	(4.4696,-58.5578,784.6774)	(26.7223,-57.6547,771.5488)	(55.5263,-56.7477,778.3907)	(27.0205,-43.3364,776.5986)
(8.9612,-135.5007,757.3257)	(38.9042,-134.8742,752.1971)	(25.9037,-94.7102,757.4526)	(27.0777,-72.2620,756.5089)	(-15.8241,-124.1882,776.5226)	(10.5363,-116.8689,764.4135)	(47.3612,-116.6033,763.2054)	(73.0859,-121.7585,766.0276)	(4.4067,-58.4053,782.6821)	(28.0597,-57.6547,771.5394)	(55.3320,-56.6072,776.4297)	(28.3706,-44.6873,776.5837)
(7.7300,-135.5047,757.3314)	(38.9121,-134.8781,754.1498)	(25.9037,-94.7102,759.3929)	(26.9520,-72.2581,756.5051)	(-15.8200,-124.1882,776.5262)	(9.2149,-116.8728,764.4243)	(47.3612,-116.6033,763.2054)	(73.0859,-121.7585,766.0258)	(4.4067,-57.2041,782.6912)	(26.6005,-57.6467,769.5575)	(55.5263,-56.7477,778.3963)	(27.0165,-43.3364,776.5986)
(8.9651,-134.1901,757.3295)	(38.9121,-134.8781,754.1568)	(25.9037,-94.7102,757.4346)	(26.9520,-72.2542,756.5051)	(-15.8162,-122.8408,776.5317)	(10.5284,-116.8689,764.4116)	(47.3651,-117.6170,761.2095)	(74.4186,-121.4445,766.0203)	(4.3986,-58.4053,782.6821)	(27.9385,-57.6507,769.5501)	(56.8718,-56.7396,778.3833)	(28.3625,-43.3364,776.6061)
(8.9612,-135.5047,757.3276)	(37.6040,-134.5222,752.1771)	(26.0378,-94.9629,759.3986)	(27.0855,-72.2620,756.5107)	(-15.8203,-124.1882,776.5226)	(10.5363,-116.8689,764.4135)	(47.5507,-117.6209,761.2114)	(72.8465,-121.4445,766.0021)	(4.4696,-58.5578,784.6810)	(28.0597,-57.6547,771.5247)	(56.8718,-56.7396,778.3703)	(28.3666,-43.3364,776.6042)
