(25.7936,-82.7646,756.4604)	(-15.8281,-122.6815,776.5281)	(10.5363,-116.8689,764.4097)	(47.5468,-116.6033,763.2127)	(72.8465,-121.7585,766.0203)	(26.7223,-57.6547,771.5488)
(25.7936,-82.7725,756.4728)	(-15.8047,-123.1595,778.5303)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(73.0938,-121.7585,766.0331)	(28.0597,-57.6547,771.5359)
(25.7896,-82.7646,756.4604)	(-15.8162,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2114)	(73.0938,-121.4445,766.0331)	(26.7223,-57.6547,771.5488)
(25.7896,-82.7646,756.4567)	(-15.8241,-122.8408,776.5317)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.1981)	(72.8465,-121.7585,766.0203)	(26.7223,-57.6547,771.5488)
(25.7936,-82.7646,756.4639)	(-15.8241,-124.0272,775.5269)	(10.5324,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(74.4226,-121.4445,766.0276)	(26.7223,-57.6547,771.5488)
(25.7936,-82.7686,756.4639)	(-15.8321,-124.0272,775.5269)	(10.5363,-116.8689,764.4078)	(47.3651,-116.6033,763.2054)	(74.4186,-121.4445,766.0203)	(26.7303,-57.6547,771.5488)
(25.7936,-82.8754,757.4485)	(-15.8281,-124.0272,775.5269)	(9.2110,-118.1995,764.4135)	(47.3612,-117.6170,761.2004)	(72.8465,-121.4405,764.0687)	(26.7223,-57.6547,771.5468)
(25.7936,-82.8754,757.4432)	(-15.8321,-124.0272,775.5269)	(10.5403,-116.8689,764.4208)	(47.5507,-117.9283,763.2000)	(73.0898,-121.4445,766.0276)	(26.6045,-57.6547,771.5320)
(25.6596,-82.8675,756.4766)	(-15.8203,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.2035)	(72.8425,-121.4405,764.0486)	(26.7223,-57.6547,771.5468)
(25.7936,-82.7686,756.4620)	(-17.1502,-123.1636,778.5378)	(10.5403,-116.8689,764.4170)	(47.3691,-117.6170,761.2095)	(72.8465,-121.4445,766.0075)	(26.7223,-57.6547,771.5488)
(25.6596,-82.7646,756.4620)	(-15.8241,-124.0272,775.5305)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(72.8465,-122.7758,764.0633)	(28.0597,-57.6547,771.5413)
(25.6596,-82.7686,756.4567)	(-15.8281,-122.6815,776.5281)	(10.5363,-116.8689,764.4135)	(47.5507,-116.7573,764.1912)	(72.8465,-121.7585,766.0276)	(28.0597,-57.6547,771.5413)
(25.7936,-82.8754,757.4451)	(-15.8361,-124.0272,775.5233)	(10.5324,-116.8689,764.4116)	(47.3651,-117.6170,761.2042)	(73.0859,-121.7585,766.0331)	(26.5965,-57.5024,769.5501)
(25.7936,-82.8714,757.4378)	(-15.8321,-124.0272,775.5269)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2023)	(73.0898,-121.4445,766.0276)	(26.5965,-57.5024,769.5501)
(25.7936,-82.7725,756.4766)	(-15.8243,-122.6815,776.5281)	(10.5363,-116.8689,764.4097)	(47.3651,-116.6033,763.1962)	(74.1718,-121.4405,764.0579)	(26.7343,-57.6547,771.5488)
(25.6596,-82.7646,756.4567)	(-15.8243,-124.0272,775.5269)	(9.2149,-116.8728,766.3968)	(47.3612,-117.6170,761.2095)	(72.8465,-121.4445,764.0706)	(26.7223,-57.6547,771.5488)
(25.6596,-82.7567,756.4368)	(-15.8241,-124.1882,775.5305)	(10.5403,-116.8689,764.4208)	(47.5547,-117.9283,763.2000)	(72.8465,-121.4405,765.9893)	(26.7223,-57.6547,771.5488)
(25.7936,-82.7646,756.4639)	(-15.8203,-124.1882,776.5226)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(73.0938,-121.4445,766.0405)	(26.7223,-57.6547,771.5488)
(25.6596,-82.7646,756.4567)	(-15.8162,-122.8408,776.5317)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.2054)	(73.0898,-121.4445,766.0276)	(26.7223,-57.6547,771.5488)
(25.7896,-82.7686,756.4620)	(-15.8241,-124.1882,776.5226)	(10.5363,-116.8689,764.4135)	(47.3612,-116.6033,763.2054)	(73.0859,-121.7585,766.0276)	(28.0597,-57.6547,771.5394)
(25.6596,-82.7646,756.4586)	(-15.8200,-124.1882,776.5262)	(9.2149,-116.8728,764.4243)	(47.3612,-116.6033,763.2054)	(73.0859,-121.7585,766.0258)	(26.6005,-57.6467,769.5575)
(25.7936,-82.7646,756.4766)	(-15.8162,-122.8408,776.5317)	(10.5284,-116.8689,764.4116)	(47.3651,-117.6170,761.2095)	(74.4186,-121.4445,766.0203)	(27.9385,-57.6507,769.5501)
(25.7896,-82.7686,756.4785)	(-15.8203,-124.1882,776.5226)	(10.5363,-116.8689,764.4135)	(47.5507,-117.6209,761.2114)	(72.8465,-121.4445,766.0021)	(28.0597,-57.6547,771.5247)
(25.6596,-82.7646,756.4532)	(-15.8241,-122.8408,776.5317)	(9.2070,-116.8728,764.4208)	(47.3651,-116.6033,763.1962)	(72.8465,-121.4445,766.0203)	(28.0597,-57.6547,771.5413)
(25.7936,-82.7646,756.4639)	(-15.8203,-124.1882,776.5262)	(9.2149,-116.8728,766.4115)	(47.3651,-117.6170,761.2095)	(72.8465,-121.4445,766.0203)	(26.7223,-57.6547,771.5488)
(25.7936,-82.7725,756.4728)	(-15.8162,-122.8408,778.5267)	(10.5363,-116.8689,764.4097)	(47.3651,-117.6170,761.2095)	(74.4305,-121.4445,766.0459)	(26.5925,-57.5024,769.5501)
(25.7936,-82.8675,756.4693)	(-15.8200,-124.1882,776.5262)	(10.5403,-116.8689,764.4135)	(47.3651,-116.7573,764.1912)	(73.0938,-121.7585,766.0331)	(27.9265,-57.6467,769.5446)
(25.6596,-82.7646,756.4604)	(-15.8203,-124.1882,776.5262)	(10.5324,-116.8689,764.4116)	(47.3651,-116.6033,763.2054)	(74.4305,-121.4445,766.0405)	(28.0597,-57.6547,771.5413)
(25.6596,-82.7646,756.4586)	(-15.8243,-124.0272,775.5305)	(10.5363,-116.8689,764.4135)	(47.5507,-116.6073,763.2146)	(74.4186,-121.4445,766.0203)	(27.9385,-57.6507,771.5247)
(25.7936,-82.8675,756.4766)	(-15.8203,-122.8408,776.5353)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.1981)	(74.4266,-121.7585,766.0405)	(26.7223,-57.6547,771.5449)
(25.7936,-82.7725,756.4819)	(-15.8162,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.2054)	(74.4266,-121.7585,766.0405)	(27.9345,-57.6467,769.5446)
(25.7936,-82.7646,756.4639)	(-15.8241,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.1795,-116.6033,763.2035)	(74.4305,-121.4445,766.0479)	(27.9225,-57.4984,769.5261)
(27.1051,-82.8635,756.4674)	(-15.8243,-124.0272,775.5305)	(10.5363,-116.8689,764.4135)	(47.1795,-116.2995,761.2169)	(73.0938,-121.4445,766.0350)	(27.9385,-57.6507,769.5427)
(25.7936,-82.7646,756.4693)	(-15.8243,-124.0272,775.5305)	(10.5363,-116.8689,764.4135)	(47.5468,-116.6033,763.2127)	(74.4266,-121.4445,766.0386)	(26.6005,-57.5024,769.5501)
(25.7896,-82.7646,756.4639)	(-15.8203,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2114)	(74.4266,-121.4445,766.0386)	(28.0597,-57.6547,769.5427)
(25.7936,-82.7725,756.4693)	(-15.8243,-124.0272,775.5305)	(10.6212,-117.1770,766.3948)	(47.5507,-116.7573,764.1932)	(74.4305,-121.7585,766.0405)	(26.7223,-57.6547,771.5488)
(25.7896,-82.7646,756.4639)	(-15.8162,-124.1882,776.5226)	(10.5324,-116.8689,764.4097)	(47.3651,-117.6170,761.2023)	(74.4266,-121.7585,766.0258)	(27.9385,-57.6507,769.5427)
(25.6596,-82.7646,756.4548)	(-15.8241,-124.0272,776.5226)	(10.5324,-116.8689,764.4116)	(47.3651,-117.6170,761.2114)	(73.0898,-121.7585,766.0276)	(27.9385,-57.6507,769.5427)
(25.6596,-82.7686,756.4567)	(-15.8203,-124.1882,776.5262)	(9.2149,-116.8728,764.4243)	(47.1795,-117.6090,761.1876)	(73.0859,-121.7585,766.0203)	(28.0597,-57.6547,771.5413)
(25.6596,-82.7646,756.4478)	(-15.8122,-122.8408,778.5267)	(10.5403,-116.8689,764.4170)	(47.3612,-116.6033,763.1962)	(74.4305,-121.7585,766.0405)	(26.7223,-57.6547,771.5488)
(25.7936,-82.7686,756.4674)	(-15.8243,-124.0272,776.5226)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(73.0938,-121.4445,766.0350)	(27.9385,-57.6507,769.5427)
(25.7936,-82.7686,756.4658)	(-15.8200,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3612,-116.6033,763.2054)	(74.4266,-122.7758,766.0276)	(27.9345,-57.4984,769.5427)
(25.7936,-82.7686,756.4658)	(-15.8243,-124.0272,776.5190)	(10.5363,-116.8689,764.4135)	(47.3651,-116.6033,763.2054)	(74.4305,-121.7585,766.0459)	(28.0597,-57.6507,769.5466)
(25.7936,-82.8754,757.4504)	(-15.8200,-124.1882,776.5262)	(10.5403,-116.8689,764.4135)	(47.5507,-117.9203,763.1853)	(74.4226,-121.7585,766.0258)	(26.7223,-57.6547,771.5468)
(25.7936,-82.7725,756.4785)	(-15.8241,-122.8408,776.5317)	(10.5324,-116.8689,764.4135)	(47.3651,-116.6033,763.2054)	(74.4226,-121.7585,766.0331)	(28.0597,-57.6547,771.5394)
(25.7936,-82.7646,756.4604)	(-15.8122,-122.8408,778.5284)	(10.5363,-116.8689,764.4135)	(47.3612,-117.6170,761.2023)	(74.4226,-121.4445,766.0258)	(26.7223,-57.6547,771.5468)
(25.6596,-82.7686,756.4586)	(-15.8122,-122.8408,778.5267)	(10.5403,-116.8689,764.4170)	(47.3612,-117.6170,761.1949)	(74.4226,-121.7585,766.0331)	(26.7223,-57.6547,771.5468)
(25.7936,-82.7686,756.4674)	(-15.8162,-124.1882,776.5262)	(10.6212,-117.1730,766.3968)	(47.3612,-116.6033,763.2054)	(74.4305,-121.7585,766.0606)	(27.9265,-57.4984,769.5408)
(25.6596,-82.7725,756.4658)	(-15.8243,-124.0272,776.5226)	(10.6212,-117.1730,766.3968)	(47.3612,-116.6033,763.2035)	(73.0938,-121.7585,766.0350)	(27.9305,-57.4984,769.5427)
(25.6596,-82.7646,756.4602)	(-15.8203,-124.1882,776.5262)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(74.4266,-121.4405,766.0386)	(28.0597,-57.6547,769.5427)
(25.7936,-82.7686,756.4658)	(-15.8203,-124.1882,776.5262)	(10.5324,-118.1955,764.4023)	(47.3651,-117.6170,761.2042)	(74.4305,-121.7585,766.0405)	(27.9345,-57.6507,769.5408)
(25.7936,-82.7646,756.4639)	(-15.8241,-124.0272,775.5305)	(10.5324,-116.8689,764.4116)	(47.3612,-117.6130,761.1949)	(74.4226,-121.7585,766.0258)	(27.9305,-57.4984,769.5427)
(25.7936,-82.7725,756.4712)	(-15.8243,-124.0272,775.5305)	(10.5284,-116.8689,764.4116)	(47.3612,-117.6090,761.1876)	(74.4305,-121.7585,766.0405)	(27.9345,-57.6467,769.5501)
(25.7936,-82.7686,756.4747)	(-15.8162,-124.1882,776.5262)	(9.2149,-116.8728,764.4208)	(47.3651,-116.6033,763.1981)	(72.8465,-121.7585,766.0075)	(26.6005,-57.6467,769.5520)
(25.6596,-82.7646,756.4766)	(-15.8162,-122.8408,776.5317)	(10.5363,-116.8689,764.4116)	(47.3651,-116.6033,763.1962)	(74.4186,-121.4405,766.0203)	(28.0597,-57.6547,771.5413)
(25.6596,-82.7607,756.4440)	(-15.8241,-124.1882,776.5262)	(10.5403,-116.8689,764.4135)	(47.3651,-116.6033,763.1981)	(72.8465,-121.4405,766.0075)	(28.0597,-57.6547,771.5394)
(25.6596,-82.7646,756.4532)	(-15.8162,-124.1882,776.5262)	(10.5324,-116.8689,764.4116)	(47.3651,-117.6170,761.2095)	(74.4305,-121.4445,766.0459)	(28.0637,-57.6547,771.5413)
(25.7936,-82.7646,756.4639)	(-15.8122,-122.8408,778.5267)	(10.5403,-116.8689,764.4135)	(47.3651,-116.6033,763.1981)	(73.0898,-121.7585,766.0203)	(28.0597,-57.6547,771.5413)
(25.7936,-82.7646,756.4658)	(-15.8047,-123.1595,778.5303)	(10.5324,-116.8689,764.4116)	(47.3612,-117.6170,761.2095)	(74.4305,-121.4445,766.0405)	(28.0597,-57.6547,771.5413)
(25.6596,-82.7646,756.4602)	(-15.8200,-124.1882,776.5262)	(10.5403,-116.8689,764.4135)	(47.5507,-117.6209,761.2114)	(74.4226,-122.7758,766.0075)	(26.7223,-57.6547,769.5520)
(25.6596,-82.7686,756.4658)	(-15.8241,-124.1882,776.5226)	(10.5363,-116.8689,764.4135)	(47.3651,-117.6170,761.2095)	(72.8425,-122.7758,764.0432)	(26.7223,-57.6547,771.5488)
(25.7936,-82.8675,757.4378)	(-15.8241,-124.1882,775.5324)	(10.6212,-117.1770,766.4041)	(47.3651,-116.6033,763.2127)	(74.4226,-121.4445,766.0276)	(26.7223,-57.6547,769.5536)
(25.6596,-82.7646,756.4548)	(-15.8281,-124.0272,775.5305)	(10.5363,-116.8689,764.4135)	(47.3612,-117.6170,761.2023)	(73.0859,-121.4445,766.0203)	(26.7263,-57.6547,771.5488)
