(18.766567'	'12.467769'	'18.136687)
(19.071031'	'12.400019'	'18.403929)
(19.382884'	'12.332334'	'18.677829)
(19.701757'	'12.264987'	'18.958080)
(20.027135'	'12.197447'	'19.244166)
(20.358333'	'12.128624'	'19.535362)
(20.694513'	'12.057138'	'19.830776)
(21.034725'	'11.981594'	'20.129412)
(21.377984'	'11.900861'	'20.430272)
(21.723364'	'11.814305'	'20.732458)
(22.070100'	'11.721993'	'21.035289)
(22.417667'	'11.624845'	'21.338385)
(22.765829'	'11.524734'	'21.641719)
(23.114625'	'11.424532'	'21.945616)
(23.464307'	'11.328111'	'22.250687)
(23.815192'	'11.240280'	'22.557701)
(24.167478'	'11.166688'	'22.867399)
(24.521003'	'11.113662'	'23.180269)
(24.875011'	'11.087998'	'23.496310)
(25.227928'	'11.096697'	'23.814805)
(25.577210'	'11.146641'	'24.134153)
(25.919279'	'11.244229'	'24.451774)
(26.249575'	'11.394965'	'24.764114)
(26.562749'	'11.603029'	'25.066777)
(26.852982'	'11.870850'	'25.354768)
(27.114421'	'12.198708'	'25.622850)
(27.341700'	'12.584413'	'25.865971)
(27.530495'	'13.023081'	'26.079754)
(27.678073'	'13.507053'	'26.260971)
(27.783762'	'14.025979'	'26.407984)
(27.849299'	'14.567081'	'26.521077)
(27.879009'	'15.115609'	'26.602669)
(27.879780'	'15.655463'	'26.657348)
(27.860823'	'16.169957'	'26.691737)
(27.833225'	'16.642685'	'26.714171)
(27.809313'	'17.058425'	'26.734225)
(27.801886'	'17.404025'	'26.762100)
(27.823360'	'17.669187'	'26.807943)
(27.884914'	'17.847107'	'26.881133)
(27.995685'	'17.934902'	'26.989607)
(28.162101'	'17.933781'	'27.139269)
(28.387398'	'17.848960'	'27.333554)
(28.671370'	'17.689298'	'27.573163)
(29.010368'	'17.466696'	'27.856001)
(29.397559'	'17.195300'	'28.177333)
(29.823403'	'16.890564'	'28.530119)
(30.276335'	'16.568257'	'28.905527)
(30.743561'	'16.243487'	'29.293554)
