(-11.1884,83.3066,599.3401)	(-54.7909,45.3686,623.4308)	(-29.9347,47.3864,620.3084)	(7.5772,46.2060,617.0942)	(32.4152,44.4155,619.9531)	(-14.1800,110.2066,610.4522)	
(-11.1884,83.3066,599.3546)	(-57.1105,47.7428,626.4534)	(-31.0095,48.5283,621.3086)	(9.8224,48.4298,619.0778)	(37.1880,48.0365,625.9144)	(-14.1622,110.2066,610.4698)	
(-11.1884,83.4399,600.3336)	(-54.8926,47.6754,625.4408)	(-28.8758,48.5316,621.2998)	(9.8224,48.4330,618.0808)	(37.1880,48.0365,624.9250)	(-14.1591,108.2639,611.4441)	
(-13.2458,83.4431,600.3708)	(-54.8991,49.6993,625.4480)	(-28.8758,48.4590,620.3070)	(9.8224,48.4298,618.0808)	(36.9960,47.9621,622.9360)	(-14.1591,108.2639,610.4698)	
(-11.1884,83.4368,600.3320)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4590,620.3070)	(9.8224,48.4330,618.0868)	(36.9960,48.0365,624.9146)	(-14.1591,108.2639,610.4698)	
(-11.1884,83.3097,599.3631)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4622,620.3128)	(9.8224,48.4330,618.0794)	(37.1880,48.0365,624.9355)	(-14.1591,108.2639,610.4698)	
(-13.2458,83.4368,600.3493)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4590,620.3098)	(10.8426,50.6573,619.0896)	(36.9960,47.9621,622.9464)	(-14.1591,108.2639,611.4500)	
(-11.1653,83.4431,600.3378)	(-57.1105,47.7428,626.4518)	(-28.8758,48.4590,620.3054)	(9.8224,48.4298,618.0794)	(36.9960,48.0365,622.9464)	(-14.1591,108.2639,611.4543)	
(-13.2458,83.4337,600.3493)	(-57.0595,47.6787,625.4528)	(-28.8758,48.4590,620.3054)	(9.7663,48.4298,618.0734)	(36.9960,48.0365,624.9250)	(-14.1591,108.2639,610.4756)	
(-13.2458,83.4368,600.3493)	(-57.0595,47.6754,625.4528)	(-28.8758,48.4590,620.3070)	(9.7695,48.4298,618.0794)	(36.9960,47.9621,622.9464)	(-14.1591,108.2639,610.4698)	
(-11.1884,83.3097,599.3631)	(-57.1105,47.7428,626.4534)	(-31.0288,48.4525,620.3172)	(10.8426,50.6573,619.0896)	(36.9960,48.0365,624.9250)	(-16.2807,110.2066,610.4784)	
(-13.2458,83.4337,600.3450)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4590,620.3054)	(9.8224,48.4298,618.0734)	(36.9960,48.0365,624.9250)	(-14.1591,108.2639,611.4500)	
(-13.2458,83.4368,600.3493)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4590,620.3114)	(10.8426,50.6573,619.0956)	(36.9960,48.0365,624.9146)	(-16.2601,108.2639,611.4660)	
(-11.1653,83.4431,600.3493)	(-59.3354,47.8135,627.4660)	(-28.8758,48.4622,620.3114)	(10.8362,50.6541,619.0866)	(39.5668,49.1989,625.9382)	(-14.1591,108.2639,611.4500)	
(-11.1653,83.4431,600.3436)	(-59.3354,47.8102,627.4660)	(-31.0288,48.4525,620.3232)	(10.8362,50.6541,619.0822)	(36.9960,47.9621,622.9360)	(-14.1591,108.2639,611.4528)	
(-11.1653,83.4431,600.3436)	(-57.1170,49.9218,626.4623)	(-28.8758,48.4590,620.3098)	(10.8426,50.6573,619.0896)	(36.9960,48.0365,622.9464)	(-14.1591,108.2639,611.4543)	
(-13.2458,83.4368,600.3493)	(-57.1681,49.9927,627.4628)	(-28.8758,48.4590,620.3114)	(10.8426,50.6573,619.0882)	(36.9992,48.0365,622.9464)	(-16.2807,110.3781,611.4748)	
(-11.1653,83.4431,600.3493)	(-54.8991,49.6993,625.4480)	(-28.8883,50.6900,621.3146)	(10.8394,50.6541,619.0866)	(36.9960,48.0365,624.9146)	(-16.2807,110.3781,611.4748)	
(-13.2458,83.4368,600.3493)	(-57.1170,49.9218,626.4623)	(-28.8758,48.4590,620.3070)	(10.8362,50.6541,619.0866)	(36.9992,48.0365,624.9206)	(-14.1591,108.2639,611.4543)	
(-13.2458,83.4399,600.3493)	(-54.8991,49.6993,625.4480)	(-28.8758,48.4590,620.3114)	(10.8362,50.6541,619.0866)	(34.6509,47.8068,621.9273)	(-14.1591,108.2639,611.4515)	
(-13.2654,83.3035,599.3604)	(-54.8991,49.6960,625.4480)	(-28.8758,48.4622,620.3128)	(10.8394,50.6573,619.0882)	(36.9960,48.0365,622.9464)	(-16.2744,108.2576,611.4660)	
(-13.2654,83.4337,600.3436)	(-54.8991,49.6993,625.4480)	(-28.8758,48.5348,621.3042)	(10.8362,50.6541,619.0866)	(36.9960,48.0365,622.9464)	(-16.2744,108.2576,611.4632)	
(-13.2458,83.4368,600.3493)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4590,620.3054)	(10.8426,50.6573,619.0956)	(36.9960,48.0365,624.9250)	(-14.1591,108.2639,611.4456)	
