(-23.4668,29.6780,609.1910)	(2.8854,29.7076,608.0466)	(-11.9695,68.9324,609.2812)	(-11.1884,83.3066,599.3401)	(-54.7909,45.3686,623.4308)	(-29.9347,47.3864,620.3084)	(7.5772,46.2060,617.0942)	(32.4152,44.4155,619.9531)	(-35.5005,115.8553,619.6120)	(-14.1800,110.2066,610.4522)	(10.5321,115.8057,617.3600)	(-13.1699,125.0263,610.5130)	
(-21.3547,29.6442,609.1824)	(0.7773,29.7044,608.0582)	(-11.9695,68.9324,610.2728)	(-11.1884,83.3066,599.3546)	(-57.1105,47.7428,626.4534)	(-31.0095,48.5283,621.3086)	(9.8224,48.4298,619.0778)	(37.1880,48.0365,625.9144)	(-39.8510,114.4196,622.6296)	(-14.1622,110.2066,610.4698)	(12.7354,115.9971,619.3300)	(-16.3282,126.0849,610.5406)	
(-21.3576,29.6379,608.1808)	(2.8854,29.7108,608.0466)	(-11.9695,68.8219,608.3070)	(-11.1884,83.4399,600.3336)	(-54.8926,47.6754,625.4408)	(-28.8758,48.5316,621.2998)	(9.8224,48.4330,618.0808)	(37.1880,48.0365,624.9250)	(-37.7042,114.4228,622.6192)	(-14.1591,108.2639,611.4441)	(12.7899,116.1821,619.3360)	(-14.2274,126.0849,609.5485)	
(-23.4694,29.6315,608.1924)	(2.8854,29.7044,608.0466)	(-11.9695,68.9324,608.3070)	(-13.2458,83.4431,600.3708)	(-54.8991,49.6993,625.4480)	(-28.8758,48.4590,620.3070)	(9.8224,48.4298,618.0808)	(36.9960,47.9621,622.9360)	(-37.7042,114.4260,622.6192)	(-14.1591,108.2639,610.4698)	(12.7963,116.1821,619.3550)	(-14.2274,126.0881,610.5290)	
(-21.3547,29.6442,609.1778)	(2.8459,29.6642,607.0524)	(-11.9695,68.9324,609.2812)	(-11.1884,83.4368,600.3320)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4590,620.3070)	(9.8224,48.4330,618.0868)	(36.9960,48.0365,624.9146)	(-37.7042,114.4228,622.6192)	(-14.1591,108.2639,610.4698)	(12.7931,116.1821,619.3491)	(-16.3282,126.0849,610.5246)	
(-23.4668,29.6748,609.1910)	(2.8791,29.7108,608.0450)	(-11.9695,68.9324,609.2913)	(-11.1884,83.3097,599.3631)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4622,620.3128)	(9.8224,48.4330,618.0794)	(37.1880,48.0365,624.9355)	(-39.8845,114.9569,623.6350)	(-14.1591,108.2639,610.4698)	(12.7963,116.1821,619.3404)	(-16.3282,126.0849,610.5406)	
(-21.3516,29.6780,609.1793)	(2.8791,29.7108,608.0466)	(-11.9695,68.9228,609.2768)	(-13.2458,83.4368,600.3493)	(-57.1105,47.7428,626.4534)	(-28.8758,48.4590,620.3098)	(10.8426,50.6573,619.0896)	(36.9960,47.9621,622.9464)	(-37.7042,114.4228,622.6192)	(-14.1591,108.2639,611.4500)	(12.7963,116.1821,619.3594)	(-14.2097,126.0881,610.5290)	
(-21.3547,29.6442,609.1735)	(2.8822,29.7044,608.0450)	(-11.9695,68.9324,609.2972)	(-11.1653,83.4431,600.3378)	(-57.1105,47.7428,626.4518)	(-28.8758,48.4590,620.3054)	(9.8224,48.4298,618.0794)	(36.9960,48.0365,622.9464)	(-37.7042,114.4228,622.6192)	(-14.1591,108.2639,611.4543)	(12.7963,116.1821,619.3654)	(-15.2975,126.9378,610.5450)	
(-21.3518,29.6843,609.1808)	(2.8791,29.6705,607.0539)	(-11.9695,68.9324,609.2928)	(-13.2458,83.4337,600.3493)	(-57.0595,47.6787,625.4528)	(-28.8758,48.4590,620.3054)	(9.7663,48.4298,618.0734)	(36.9960,48.0365,624.9250)	(-37.7042,114.4228,622.6192)	(-14.1591,108.2639,610.4756)	(12.7963,114.0338,619.3418)	(-15.2975,127.1307,610.5465)	
(-21.3516,29.6780,609.1793)	(2.8728,31.7741,607.0625)	(-11.9695,68.9324,609.2870)	(-13.2458,83.4368,600.3493)	(-57.0595,47.6754,625.4528)	(-28.8758,48.4590,620.3070)	(9.7695,48.4298,618.0794)	(36.9960,47.9621,622.9464)	(-37.7042,114.4260,622.6220)	(-14.1591,108.2639,610.4698)	(12.7963,114.0338,619.3360)	(-15.2975,127.1307,610.5524)	
