(33.2943,97.6918,499.0103)	(-13.0725,60.9962,520.8257)	(13.1814,69.4634,521.8219)	(48.2919,77.4437,533.7526)	(71.7039,78.3725,545.6866)	(25.6922,126.8839,504.3099)
(32.9424,96.8275,498.0059)	(-13.0923,59.9795,519.8162)	(13.1064,68.3051,520.7914)	(48.0264,77.1683,531.7864)	(72.6507,79.1809,544.7280)	(26.3605,127.0090,503.2833)
(32.9448,95.9631,497.9948)	(-13.0923,59.0712,519.7908)	(13.1089,67.4001,520.7806)	(49.0796,76.2416,532.7302)	(73.4361,78.0924,545.6866)	(26.3605,126.1370,503.2668)
(0.0000,0.0000,0.0000)	(-12.2170,58.9663,518.7783)	(13.9432,68.3076,520.7883)	(48.9412,77.1683,531.7499)	(73.2482,79.1863,543.7062)	(27.2286,126.7649,502.2946)
(33.0653,95.0939,495.9882)	(-11.3609,58.7616,516.8008)	(14.8424,68.3102,520.7820)	(48.8055,77.0319,530.7490)	(71.9456,77.2921,541.7046)	(27.2311,126.6439,502.2894)
(34.5553,95.9656,495.9911)	(-12.2385,58.8614,517.7889)	(14.7689,68.1853,519.7810)	(48.5338,75.8350,528.7451)	(74.0099,77.9631,542.7133)	(27.9989,125.8995,501.2917)
(35.1682,95.7821,495.9728)	(-11.3402,57.9667,517.7911)	(15.6690,67.1613,518.7747)	(49.5862,75.0542,529.7127)	(75.7159,77.5483,542.6206)	(28.7609,125.6571,500.3009)
(35.0497,92.5008,493.9854)	(-10.4294,56.9705,516.7755)	(17.3904,65.2436,517.7538)	(51.2885,73.2285,528.7119)	(74.7654,74.6021,539.6406)	(29.7414,123.3034,501.2449)
(36.1612,93.1894,495.9639)	(-9.5578,56.0699,516.7578)	(17.3904,65.2436,517.7507)	(51.2911,72.3078,528.7001)	(75.3454,74.6021,539.6220)	(29.6328,123.5455,500.2572)
(37.0190,92.8232,495.9579)	(-10.4543,55.1694,516.7524)	(16.4921,64.2258,516.7476)	(50.3814,73.0809,528.7065)	(0.0000,0.0000,0.0000)	(29.6352,122.4331,501.2234)
(37.0214,93.6873,495.9639)	(-10.4543,56.0674,516.7609)	(16.4971,64.3413,517.7422)	(51.4296,72.3078,528.7010)	(75.5280,74.7370,540.6292)	(29.5266,122.6735,500.2409)
(38.1385,93.1918,496.9431)	(-9.5578,55.1719,516.7480)	(17.4716,63.5603,518.7284)	(51.2937,72.1646,528.6924)	(0.0000,0.0000,0.0000)	(30.6151,121.5629,501.2264)
(39.6114,90.2482,495.9086)	(-7.7621,53.3808,516.7325)	(18.3842,60.8582,518.6977)	(52.3564,68.5070,528.6625)	(0.0000,0.0000,0.0000)	(32.3600,118.9569,501.2011)
(39.6090,91.1098,495.9145)	(-6.8656,53.3808,516.7241)	(19.3613,61.8750,519.6945)	(52.3589,68.5070,528.6625)	(0.0000,0.0000,0.0000)	(31.4912,118.9545,501.2011)
(39.6066,91.9714,495.9235)	(-7.7369,54.2789,516.7378)	(19.3563,63.6816,519.7230)	(52.2162,70.3423,528.6765)	(0.0000,0.0000,0.0000)	(32.1275,120.6999,500.2186)
(40.0728,91.4370,492.9370)	(-6.8286,53.4753,516.7347)	(19.2742,62.6638,518.7021)	(53.1335,69.4234,528.6529)	(76.0949,70.7327,537.6240)	(32.9953,119.5969,500.1911)
