(83.6577,-5.1644,542.8391)	(38.3940,-40.7499,572.6786)	(62.2160,-37.8312,574.6509)	(98.5819,-33.0948,579.5421)	(121.5332,-33.1593,583.4717)	(79.0332,27.4199,554.1708)
(82.3704,-4.2495,544.8439)	(37.8233,-41.9080,575.6671)	(61.9601,-38.9792,577.6147)	(98.2055,-34.2384,583.5430)	(122.7827,-33.4674,588.4612)	(78.8143,26.6733,557.1850)
(81.6126,-7.1244,545.8431)	(35.8117,-41.9136,575.6765)	(59.9513,-39.9878,578.6171)	(96.5869,-33.4235,585.5369)	(119.7132,-33.5325,589.4634)	(76.8870,26.5705,557.1917)
(81.6126,-7.1164,545.8553)	(35.4141,-42.9216,575.6765)	(59.2310,-39.1364,578.6171)	(97.3994,-35.3232,584.5392)	(120.9857,-34.5649,589.4608)	(76.8816,26.5705,557.2133)
(80.4714,-8.0746,545.8464)	(34.5178,-44.0056,576.6695)	(58.3669,-40.2202,578.6111)	(95.7766,-35.4692,585.5153)	(120.7478,-36.5507,588.4597)	(75.1356,24.6676,558.1642)
(79.7154,-8.0980,546.8375)	(33.6152,-43.0844,577.6779)	(56.3449,-40.2316,579.6109)	(94.7569,-35.5235,585.5223)	(117.9167,-36.6238,589.4487)	(75.3142,24.7059,559.1707)
(77.6281,-8.1420,548.8270)	(33.5172,-44.0084,576.6730)	(56.0698,-41.0841,578.6096)	(93.5415,-36.4906,585.5128)	(116.1019,-36.6942,590.4508)	(73.5470,24.7415,559.2139)
(76.8696,-8.1140,546.8629)	(30.6082,-44.0112,577.6823)	(55.1995,-40.2288,579.6214)	(92.7232,-35.5379,586.5306)	(118.1609,-36.6971,590.4543)	(72.4008,24.7004,559.1808)
(76.8696,-8.1167,547.8401)	(31.7078,-44.0930,577.6858)	(55.3339,-40.2288,578.6370)	(91.7007,-35.5379,586.5281)	(116.3339,-35.7315,591.4591)	(72.4008,24.7004,559.1774)
(75.5349,-8.1240,547.8401)	(29.5175,-44.0254,575.6716)	(54.0575,-41.0955,578.6166)	(91.5056,-37.4455,585.5198)	(116.1076,-36.7000,590.4579)	(71.2580,24.6594,558.1810)
(76.4887,-8.1113,546.8554)	(31.5159,-44.0084,576.6764)	(54.0575,-41.0955,578.6166)	(91.7007,-36.4963,586.5115)	(114.6089,-37.5871,588.4476)	(72.5768,23.7277,559.1808)
(75.5349,-8.0960,545.8661)	(30.5153,-43.1014,576.6764)	(54.0575,-41.0898,578.6131)	(91.7007,-37.4398,585.5198)	(114.8421,-36.6383,589.4664)	(71.2607,23.6883,558.1603)
(76.8696,-8.1060,546.8531)	(31.5075,-42.9385,575.6750)	(54.0519,-40.0823,577.6272)	(92.3239,-36.3583,584.5438)	(115.0753,-35.6687,590.4640)	(72.2274,24.6621,558.1718)
(75.9210,-7.1432,545.8759)	(29.7796,-41.1664,575.6913)	(54.0519,-39.1477,578.6354)	(91.1098,-36.2937,583.5450)	(115.0724,-35.6658,590.4604)	(71.0864,25.5903,557.1993)
(75.9210,-7.1458,545.8815)	(30.8810,-42.0004,576.6859)	(54.0519,-39.0833,578.6354)	(91.8900,-35.4692,585.5460)	(115.3056,-33.6801,591.4891)	(71.0864,25.6304,557.2209)
