(-25.2231,-84.4219,593.7378)	(-1.6123,-84.0633,591.6125)	(-15.0460,-49.2560,592.8092)	(-15.2502,-37.2698,582.8870)	(-55.8324,-73.8663,607.9495)	(-32.5812,-72.3710,604.8252)	(7.0847,-71.7727,601.6070)	(31.1915,-74.0325,602.4746)	(-36.9492,-4.1190,602.1321)	(-13.1527,-8.0522,590.9866)	(14.1321,-3.9589,601.8261)	(-14.1715,3.2370,593.0312)	
(-23.1453,-93.3687,590.6945)	(-0.6439,-91.9614,589.5691)	(-14.0087,-51.2197,591.8181)	(-13.2023,-38.3494,583.8770)	(-55.8828,-73.9895,608.9494)	(-32.5812,-72.3742,604.8310)	(7.0878,-71.8908,601.6084)	(33.5652,-74.3935,605.4440)	(-36.9751,-2.0350,603.1380)	(-13.1265,-10.1166,591.9610)	(11.9190,-4.9817,599.8384)	(-14.2020,7.3363,591.0539)	
(-23.1453,-94.2412,591.6726)	(-0.6439,-91.9614,589.5691)	(-13.9901,-51.3081,592.8092)	(-13.1821,-38.4170,584.8570)	(-55.8324,-73.8663,607.9495)	(-32.5812,-72.3742,605.8174)	(7.0847,-71.7727,601.6070)	(33.5652,-74.3935,605.4440)	(-36.9492,-4.1190,602.1292)	(-14.1254,-12.2003,592.9524)	(11.9190,-4.9775,598.8688)	(-14.2020,7.3372,592.0454)	
(-23.1452,-93.2186,591.6769)	(-0.6118,-91.9614,589.5691)	(-13.9901,-51.3081,592.8036)	(-13.2023,-38.3494,583.8574)	(-55.8828,-73.9895,608.9494)	(-32.5812,-72.3742,604.8325)	(7.0847,-71.7696,601.6070)	(33.5652,-74.2784,605.4397)	(-36.9492,-4.1190,602.1292)	(-14.1254,-12.1807,591.9838)	(11.9190,-4.9848,599.8442)	(-14.2020,7.3372,592.0454)	
(-23.1453,-93.2186,590.6888)	(-0.6026,-92.1159,590.5626)	(-14.0087,-51.3050,592.7993)	(-13.1821,-38.4786,585.8413)	(-55.8828,-73.9895,607.9510)	(-32.5812,-72.3742,604.8325)	(9.1720,-71.7633,601.5938)	(33.4688,-74.2721,604.4510)	(-36.9492,-4.1190,602.1292)	(-14.1254,-12.1777,591.9739)	(11.9128,-4.9743,598.8574)	(-14.2203,7.3332,591.0497)	
(-23.1514,-91.1641,590.6972)	(1.4375,-91.9553,589.5605)	(-14.0087,-51.3081,592.8036)	(-13.1821,-38.4170,584.8514)	(-54.7783,-72.8048,607.9480)	(-32.5812,-72.3742,604.8310)	(9.1720,-71.7633,601.5938)	(33.4688,-74.0325,604.4610)	(-36.9492,-4.1190,602.1292)	(-13.1265,-10.1228,591.9766)	(11.9252,-4.9848,599.8528)	(-14.2020,7.3332,591.0554)	
(-23.1482,-91.3201,591.6936)	(-0.6439,-91.9676,590.5470)	(-11.9524,-51.2958,592.7808)	(-13.1821,-38.4170,584.8529)	(-56.9386,-72.9327,609.9594)	(-32.6123,-70.3891,605.8392)	(10.2095,-69.7951,601.5996)	(33.5621,-72.2933,605.4643)	(-36.9492,-4.1190,602.1321)	(-13.1265,-10.1197,591.9610)	(11.9190,-4.9775,598.8574)	(-14.2020,7.3372,591.0596)	
(-23.1513,-91.1641,591.6769)	(-0.6118,-91.9614,589.5691)	(-13.9901,-51.3081,592.8134)	(-13.1821,-38.4170,584.8473)	(-56.9386,-72.9327,609.9594)	(-32.5812,-72.3742,604.8310)	(9.1720,-71.7633,601.5938)	(33.5621,-72.1786,605.4643)	(-36.9492,-4.1190,602.1266)	(-14.1437,-12.1777,591.9598)	(11.9190,-4.9775,598.8631)	(-14.2020,7.3332,591.0512)	
(-23.1513,-91.1641,590.6988)	(-0.6439,-91.9614,589.5733)	(-14.0087,-51.2228,591.8196)	(-13.1821,-38.4170,584.8416)	(-56.9908,-73.0542,609.9594)	(-32.5812,-72.3710,604.8310)	(9.1720,-71.7633,601.5938)	(33.5621,-72.2933,605.4744)	(-36.9492,-4.1190,602.1292)	(-14.1437,-12.1777,591.9696)	(11.9221,-4.9848,599.8570)	(-14.2020,7.3363,591.0637)	
(-23.1453,-93.2186,590.6988)	(-0.6026,-92.1190,590.5668)	(-14.0087,-51.3081,592.8036)	(-13.1821,-38.4170,584.8473)	(-55.8828,-73.9895,608.9494)	(-32.5812,-72.3710,604.8252)	(9.1720,-71.7633,601.5896)	(33.4719,-74.2753,604.4610)	(-34.8293,-4.0948,600.1176)	(-14.1254,-12.1777,591.9696)	(11.9221,-4.9848,599.8470)	(-14.2020,7.3332,591.0524)	
(-23.1453,-93.2155,590.6888)	(-0.6439,-91.9614,589.5691)	(-13.9901,-51.3050,592.7936)	(-13.2023,-38.4109,584.8458)	(-55.8324,-73.8663,607.9495)	(-32.6061,-72.3742,604.8310)	(9.1752,-71.8845,601.5968)	(33.4688,-74.2753,605.4296)	(-36.9294,-4.1100,602.1266)	(-14.1254,-12.1807,591.9838)	(11.9252,-4.9848,599.8570)	(-14.2020,7.3372,592.0340)	
(-23.1452,-93.2155,591.6742)	(-0.6088,-91.9645,590.5512)	(-13.9901,-51.3019,592.7922)	(-13.2023,-38.3494,583.8630)	(-55.8828,-73.9895,608.9494)	(-32.5812,-72.3742,604.8325)	(7.1348,-71.8845,601.6070)	(33.4688,-74.0325,604.4408)	(-34.8681,-2.0233,602.1263)	(-14.1254,-12.2003,592.9652)	(11.9252,-4.9775,599.8570)	(-14.1838,7.3434,592.0512)	
(-23.1513,-91.1641,591.6952)	(-0.6118,-91.9614,589.5790)	(-14.0087,-51.3050,592.7978)	(-13.2023,-38.4109,584.8458)	(-55.8828,-73.9895,608.9494)	(-32.5812,-72.3742,605.8233)	(7.0847,-71.7696,601.6070)	(33.4688,-74.0325,604.4452)	(-34.8681,-2.0233,602.1263)	(-13.1466,-10.1067,590.9923)	(11.9743,-4.9848,599.8628)	(-14.1838,7.3394,592.0340)	
(-23.1452,-93.2155,591.6798)	(-0.6026,-92.1190,590.5668)	(-14.0087,-51.3050,592.7936)	(-13.1821,-38.4170,584.8473)	(-55.8828,-73.9895,608.9494)	(-32.5812,-72.1377,604.8194)	(7.0847,-71.7696,601.6070)	(33.4688,-74.2721,604.4510)	(-34.8681,-2.0233,601.1277)	(-13.1265,-10.1228,591.9668)	(11.9252,-4.9848,599.8485)	(-14.2020,7.3332,591.0524)	
(-23.1421,-93.3749,591.6855)	(-0.6088,-91.9676,590.5584)	(-14.0087,-51.3019,592.7922)	(-13.2023,-38.3524,583.8728)	(-55.8828,-73.9895,607.9510)	(-32.5812,-72.3710,604.8238)	(7.0847,-71.7696,601.6070)	(33.5652,-74.3966,605.4456)	(-34.8293,-4.0948,600.1204)	(-14.1254,-12.2003,592.9638)	(11.9774,-4.9879,599.8670)	(-14.2020,7.3372,592.0284)	
